id,latitude,longitude,population_density,avg_winter_low_temp,introduced,prop_forest,prop_developed,col_class,melanic_binary,pop_den_scaled,winter_temp_scaled,prop_forest_scaled,prop_developed_scaled,RAC
139642915,49.2434486614,-122.9347618526,517,2,Y,0.01499302649930265,0.08577405857740586,melanic,1,-0.4586073615498346,0.4290037814438769,-0.6297439650409536,0.3447103611682952,0.6936852741539405
139642949,49.2261940345,-123.0194397615,2175.5,2,Y,0,0.00359712230215827,gray,0,-0.10737371368636564,0.4290037814438769,-0.7089222377079822,-0.388680203985309,0.6936456701795659
139642953,49.2261940345,-123.0194397615,2175.5,2,Y,0,0.00359712230215827,gray,0,-0.10737371368636564,0.4290037814438769,-0.7089222377079822,-0.388680203985309,0.6936456701795659
140031334,40.7218805,-73.6982489,4338.7001953125,-0.75,N,0,0,gray,0,0.3507442818870911,0.00601139470062797,-0.7089222377079822,-0.42078283128782024,-0.07112697653644832
140088416,38.6829001102,-78.223078326,6,-1.75,N,0.7068965517241379,0.0014367816091954,gray,0,-0.5668258686696614,-0.14780401866055343,3.0242031537798115,-0.4079602301526218,-0.4690997377742344
140099674,40.7218805,-73.6982489,4338.7001953125,-0.75,N,0,0,gray,0,0.3507442818870911,0.00601139470062797,-0.7089222377079822,-0.42078283128782024,-0.07112697653644832
140269038,30.6134462697,-87.1528800341,685.79998779296875,8.25,N,0.09145642201834862,0,gray,0,-0.42285925454239814,1.390350114951261,-0.2259402647183092,-0.42078283128782024,-0.15409557608802843
140678052,40.6032325807,-74.0099693451,13282.2001953125,-0.75,N,0,0,gray,0,2.2447799343844896,0.00601139470062797,-0.7089222377079822,-0.42078283128782024,-0.319753100347875
140854018,35.8428834436,-79.1330582614,130,1.75,N,0.6516290726817042,0.00644468313641246,gray,0,-0.5405654090163179,0.3905499281035816,2.7323352293521026,-0.3632670607823544,-0.3273739345411564
140895404,49.2766383333,-123.1501611667,1372.0999755859375,2.5,Y,0,0.01841820151679306,gray,0,-0.27751608406233863,0.5059114881244676,-0.7089222377079822,-0.2564090321202491,0.6871631175043513
140931036,29.7005966667,-95.7490616667,2560.60009765625,7.25,N,0.01087890065845977,0,gray,0,-0.02581802354926414,1.2365347015900794,-0.6514706909710303,-0.42078283128782024,-0.2178488107862142
141113794,26.3755300015,-81.6048071441,3.200000047683716,13.5,N,0.16035570854847964,0,gray,0,-0.5674188467807676,2.1978810350974634,0.13791732572216525,-0.42078283128782024,-0.1454203133393387
141132398,37.7686,-122.4768666667,3378.89990234375,7.5,Y,0.00609343263371699,0.02708192281651997,gray,0,0.14747979100988862,1.2749885549303748,-0.6767427794396296,-0.1790893880894959,-0.4281106322615124
141394169,38.9071923,-77.0368707,3656,0.25,N,0,0,gray,0,0.20616346790052967,0.15982680806180943,-0.7089222377079822,-0.42078283128782024,-0.039127008851628314
141586546,29.7717322187,-95.5700906329,1650,8.25,N,0.00572246065808297,0,gray,0,-0.21866300036243017,1.390350114951261,-0.6787018849104259,-0.42078283128782024,-0.21745650821183826
142026345,37.5648116667,-122.3992166667,0,6.5,Y,0.5357283853138571,0.00157915515199368,gray,0,-0.5680965360722425,1.1211731415691937,2.1202629284638026,-0.40668961314317265,-0.3145242553724548
142187900,40.7099486347,-74.0165973273,20603.599609375,-0.75,N,0,0.3443380653681083,melanic,1,3.795290530505465,0.00601139470062797,-0.7089222377079822,2.652272697557457,-0.2588743539667856
142269275,43.3882611111,-80.3485694444,1478.300048828125,-6.25,N,0.2148190695002872,0.07610568638713383,gray,0,-0.25502525552557587,-0.8399733787858699,0.42553869716478826,0.25842467973343286,0.361179163207365
142609170,49.2983517268,-123.1205639988,8.899999618530273,2.5,Y,0,0,melanic,1,-0.5662117128392007,0.5059114881244676,-0.7089222377079822,-0.42078283128782024,0.6888206299960931
142609289,49.287281598,-123.1356303021,27216.400390625,2.5,Y,0,0,gray,0,5.195735595921705,0.5059114881244676,-0.7089222377079822,-0.42078283128782024,0.687666072365707
142699856,34.7718041594,-92.4496190089,1225,1.75,N,0.11594695681740903,0.00306018361101666,gray,0,-0.3086686080452606,0.3905499281035816,-0.09660558754878971,-0.39347212965202183,-0.23973131431119465
142950013,41.2455833333,-79.4317777778,476,-4.75,N,0.4738109572546659,0,melanic,1,-0.4672902554674725,-0.6092502587440978,1.7932765790473055,-0.42078283128782024,0.18390382554671963
143041065,44.8431329522,-93.3706170693,267,-11.25,N,0.3454966695626991,0.06718795250506805,gray,0,-0.511551836657382,-1.6090504455917771,1.1156479722798431,0.17883809269212908,-0.7884581111325712
143385666,36.162664,-86.781602,2166.699951171875,1,N,0,0.05348970251716247,gray,0,-0.1092373695508691,0.2751883680826955,-0.7089222377079822,0.05658764438390445,-0.38894886110376514
143398842,39.6824486,-75.7793901,1629.199951171875,-1.5,N,0.14426705370101597,0,gray,0,-0.22306799103209587,-0.1093501653202581,0.05295303246106556,-0.42078283128782024,-0.4471549095139507
143539977,43.8119275781,-91.213489475,323.3999938964844,-10.25,N,0.3397806004618938,0,gray,0,-0.499607564365709,-1.4552350322305956,1.0854613733387828,-0.42078283128782024,0.22747955503108072
143760343,29.6471416667,-82.3408133333,7357.89990234375,9,N,0.01888412017167382,0,gray,0,0.990144056821612,1.5057116749721469,-0.6091950734760462,-0.42078283128782024,-0.1953969930646878
143813428,43.0481221,-76.1474244,2982.39990234375,-5,N,0,0,gray,0,0.06350985348931854,-0.647704112084393,-0.7089222377079822,-0.42078283128782024,0.017928637285922856
143971779,39.1426776178,-84.5092901587,1848.300048828125,-2.5,N,0.08077914637639645,0.00343741048410197,gray,0,-0.1766674323664058,-0.2631655786814395,-0.2823270284020013,-0.3901055569592103,-0.4448192649877623
143979884,43.8310749562,-78.8768777421,0,-3.25,Y,0,1,gray,0,-0.5680965360722425,-0.3785271387023256,-0.7089222377079822,8.503747558810305,0.5758397920298222
144271626,39.6104293879,-75.793567156,1769.9000244140625,-1.5,N,0.1501286817271947,0,gray,0,-0.19327082493049155,-0.1093501653202581,0.08390832905518986,-0.42078283128782024,-0.44699216133256287
144307225,43.9072686628,-69.963925713,2060.800048828125,-6.75,N,0.0592503022974607,0,gray,0,-0.13166462852499056,-0.9168810854664606,-0.3960209971792327,-0.42078283128782024,-0.679308081265545
144552226,45.347674,-89.740846,12.199999809265137,-14.25,N,0.27553098632528367,0.08117544370090195,gray,0,-0.5655128457273877,-2.0704966856753213,0.7461587337351976,0.3036698829505787,0
144958505,39.6101649016,-75.7928804711,1769.9000244140625,-1.5,N,0.14347079037800686,0,gray,0,-0.19327082493049155,-0.1093501653202581,0.0487479605560101,-0.42078283128782024,-0.44692639846368337
145296599,43.2402688812,-81.1591980014,15.699999809265137,-6.25,N,0.04873853211009174,0.05389908256880734,melanic,1,-0.564771623075882,-0.8399733787858699,-0.45153372545643233,0.06024116909590903,0.3837911859981918
145328772,45.3603616074,-122.646789423,2199.699951171875,2.5,Y,0.0621301775147929,0,gray,0,-0.10224869883667284,0.5059114881244676,-0.3808123570013772,-0.42078283128782024,-0.6533824531220368
145517219,41.3385316056,-88.3247687599,74.80000305175781,-5.75,N,0.5274914089347079,0.11512027491408934,gray,0,-0.5522555484737696,-0.7630656721052792,2.0767634014183134,0.606611560699421,-0.49449854275966776
145517344,41.3103752742,-88.2825783737,2.700000047683716,-5.75,N,0.40074584050487666,0.15031554790590934,gray,0,-0.5675247357309827,-0.7630656721052792,1.4074192115083255,0.9207128441027184,-0.4941648276194311
145675352,43.2258829207,-79.1114598368,217.8999938964844,-3.75,N,0.00803212851405622,0.00430292598967297,gray,0,-0.521950132861094,-0.4554348453829163,-0.6665045136005688,-0.3823812375266407,0.20554317944579178
145688075,42.9084656603,-78.9219698335,1680.9000244140625,-3.75,N,0.0131729667812142,0.9258304696449028,gray,0,-0.2121190580687784,-0.4554348453829163,-0.6393557125180748,7.841819331136935,0.13039218608098066
145688079,42.9013767816,-78.838580431,1987.5,-4.25,N,0,0,gray,0,-0.14718795896724124,-0.532342552063507,-0.7089222377079822,-0.42078283128782024,-0.43393987861723404
145690394,43.2394476525,-79.13942914,57.400001525878906,-3.75,N,0.03869303525365434,0,gray,0,-0.5559404842644022,-0.4554348453829163,-0.5045840611716246,-0.42078283128782024,0.20222148697355607
145690511,43.2308775048,-79.0442404356,253,-3.75,N,0.2340303637926096,0.19077628186765969,melanic,1,-0.5145167272634047,-0.4554348453829163,0.5269936701040264,1.2818058939500347,0.18910907761639711
145729926,43.1645105016,-79.0925102541,81.19999694824219,-3.75,N,0.30694205393000573,0,melanic,1,-0.550900171203606,-0.4554348453829163,0.912040790682461,-0.42078283128782024,0.11728490783144317
