,database,inat.id,year,latitude,longitude,morph.class
31117,iNaturalist,37621038,2020,43.0351533946,-76.1346692127,gray
31120,iNaturalist,37624999,2020,37.7651533333,-122.5048966667,gray
31121,iNaturalist,37631982,2020,45.3716415913,-75.7971899423,melanic
31124,iNaturalist,37632758,2020,40.6532990987,-73.9996361185,gray
31125,iNaturalist,37633371,2020,42.3552780151,-71.0664291382,gray
31126,iNaturalist,37636605,2020,50.9700093,-114.086095,melanic
31127,iNaturalist,37636688,2020,26.409764,-81.597272,gray
31129,iNaturalist,37649203,2020,40.6028406866,-74.5327952425,gray
31130,iNaturalist,37649212,2020,40.6028406866,-74.5327952425,gray
31131,iNaturalist,37649216,2020,40.6028406866,-74.5327952425,gray
31133,iNaturalist,37650689,2020,30.485584259,-84.6330490112,gray
31134,iNaturalist,37652578,2020,38.9380317,-77.2819304,gray
31135,iNaturalist,37652960,2020,38.8945121765,-77.0175933838,gray
31137,iNaturalist,37655162,2020,37.019841,-76.3367913,gray
31138,iNaturalist,37657919,2020,40.7666113833,-73.9733183385,gray
31140,iNaturalist,37659170,2020,40.7523507147,-73.8898820263,gray
31141,iNaturalist,37660802,2020,42.2935577,-71.1272458,gray
31142,iNaturalist,37660939,2020,43.0691358168,-87.8703230248,gray
31143,iNaturalist,37661053,2020,41.1275958,-81.5398692,gray
31144,iNaturalist,37661205,2020,29.9129834,-90.2036868,gray
31145,iNaturalist,37662310,2020,43.4647955158,-80.5491316828,gray
31146,iNaturalist,37664756,2020,36.2166552013,-83.406582188,gray
31147,iNaturalist,37664827,2020,32.2493457115,-95.4246413734,gray
31150,iNaturalist,37669196,2020,33.6889908,-86.6833228,gray
31152,iNaturalist,37671493,2020,34.86715,-83.97448667,gray
31153,iNaturalist,37671824,2020,44.7694498951,-79.9390526877,gray
31157,iNaturalist,37678468,2020,35.2750892639,-80.9596328735,gray
31159,iNaturalist,37680565,2020,43.4713506261,-80.5433984457,gray
31160,iNaturalist,37681195,2020,38.9462283,-92.446573,gray
31161,iNaturalist,37686634,2020,38.8375854492,-77.0781860352,gray
31162,iNaturalist,37687663,2020,43.1049466667,-86.2534783333,gray
31163,iNaturalist,37689716,2020,40.8901027404,-73.4155052003,gray
31164,iNaturalist,37692067,2020,45.4461181821,-75.6517635903,melanic
31165,iNaturalist,37692490,2020,39.1431043,-77.2497979,gray
31167,iNaturalist,37695089,2020,40.892575,-74.00756945,gray
31168,iNaturalist,37696797,2020,35.6942729223,-78.7657239139,gray
31169,iNaturalist,37699442,2020,38.6426079559,-77.2475072075,gray
31170,iNaturalist,37701247,2020,31.9685987897,-99.9018131196,gray
31174,iNaturalist,37707998,2020,27.3263866667,-82.5409083333,gray
31176,iNaturalist,37711062,2020,45.5685407979,-73.5616678089,melanic
31177,iNaturalist,37712373,2020,38.984385018,-95.2221001042,gray
31178,iNaturalist,37713925,2020,40.1496062742,-76.3145263623,gray
31179,iNaturalist,37714006,2020,42.777,-88.687575,gray
31182,iNaturalist,37715915,2020,42.4553752388,-71.0914925566,gray
31183,iNaturalist,37716816,2020,40.4113297561,-75.491008088,gray
31184,iNaturalist,37717033,2020,40.2822378498,-74.8452666396,gray
31185,iNaturalist,37717087,2020,27.9879379521,-81.8661156062,gray
31186,iNaturalist,37717176,2020,39.0800102046,-77.1165382862,gray
31187,iNaturalist,37717181,2020,39.0800159608,-77.1165376156,gray
31188,iNaturalist,37718457,2020,43.095269166,-87.89300018,gray
31189,iNaturalist,37719789,2020,38.9358496261,-77.3441566858,gray
31190,iNaturalist,37721223,2020,44.51640833,-88.13570283,gray
31191,iNaturalist,37722833,2020,30.233372797,-84.303152419,gray
31192,iNaturalist,37723529,2020,40.893055,-74.00778333,gray
31193,iNaturalist,37723568,2020,40.893055,-74.00778333,gray
31194,iNaturalist,37723745,2020,45.3850483333,-75.7020016667,gray
31195,iNaturalist,37723805,2020,45.3841911179,-75.7027938801,gray
31199,iNaturalist,37727449,2020,38.9175509,-77.279589,gray
31200,iNaturalist,37727479,2020,38.9175509,-77.279589,gray
31201,iNaturalist,37727647,2020,45.2982227388,-75.8213370448,melanic
31204,iNaturalist,37730871,2020,37.187199,-86.103898,gray
31206,iNaturalist,37736974,2020,37.377413474,-122.0830750631,melanic
